,names,x,y,z
0,Thiago Silva,29889.655509416043,1843.8054052570833,-1123.0202008043816
1,Neto,11994.87106915512,7268.574321764002,2366.8964969413955
2,Brandon Aguilera,-12786.817991180335,792.3753138782408,-573.6298326826637
3,Vitinho,132.22466087952873,-976.6199216616986,567.6599598034103
4,Ashley Young,1674.5754888776744,1120.1539652458994,11.249503313446725
5,Remi Matthews,-12840.638329739617,788.4919892868056,-568.7107076122959
6,S?amus Coleman,-8981.32814437588,831.1346330616891,-390.0169182538014
7,Mathias J?rgensen,-4483.343422870661,1433.4055243348998,-522.347569107171
8,?ukasz Fabia?ski,-6474.80480911919,2528.898912178584,28.493041584311054
9,Aaron Cresswell,-8250.480954284329,1053.237060472048,-870.1666911915446
10,Wes Foderingham,11472.590597201646,8164.141550355089,2571.7602267585235
11,Adam Lallana,-7526.004712023606,-159.34256098790635,-709.3117248042832
12,Adam Smith,1365.3440256926708,1079.9078748236216,-695.5132442248341
13,Ben Mee,-2702.776624148913,819.1209542576331,-341.27047320411145
14,James Milner,-4596.464989832172,529.6639629809061,-1088.3677484135972
15,Joel Ward,602.9458190679134,1793.7529336991201,-552.1634314121567
16,Martin D?bravka,1016.7801434326518,3137.4098602225745,257.94327486675024
17,Nathaniel Clyne,-4423.9977751744655,883.2470658121514,-683.5750697725393
18,Robin Olsen,-8716.086350028647,1478.6710666077656,-379.8592256394511
19,Andros Townsend,-7044.789183724101,-625.790528869649,364.5327053533233
20,Andr? Gomes,-8679.599420954917,302.385394612093,-771.8438932813222
21,Craig Dawson,12561.92974978496,495.57188940436197,-1545.854667883693
22,Daniel Bentley,-10026.827009292552,1548.367290588937,-402.5460005980759
23,Ivan Peri?i?,-11843.026272977293,677.0545840863027,-313.222532870151
24,James Hill,-12248.099519506372,861.1664535916354,-640.1885095016997
25,Jonny Evans,241.0244002315443,1.1743061383419018,-629.7025106928517
26,Omari Forson,-12443.547667459603,716.1562678343705,-584.0047746315578
27,Tom Cairney,5780.5477154177015,-2288.605668614104,-881.402202936332
28,Emil Krafth,-4466.218923551524,787.884599800309,-538.3497133248985
29,George Baldock,-7690.502551471886,754.5985639269684,-537.8647121995555
30,Willy Boly,-2331.4800424527157,1261.5487034732841,-592.119474091813
31,Charlie Taylor,5134.283825792474,-125.67887541628416,-1190.0396845745292
32,Gabriel Osho,-788.99432522372,670.1992644883077,-704.2225070044386
33,Ja?ro Riedewald,-11352.235287982263,635.0548910779377,-734.0784923178012
34,Matt Doherty,-4535.909902266349,135.54831913990938,-1248.0779132806954
35,Rodrigo Ribeiro,-12734.321104605535,769.3221597872068,-538.1578585394786
36,Thomas Strakosha,-11082.994490732126,1237.2642367417589,-550.9562109277584
37,William Osula,-12104.15196848611,381.0485635776118,-211.27703805542117
38,Willian,4855.420503546939,-2688.8097991816626,958.6011278184112
39,Ivo Grbi?,-6045.835041659472,2911.7141198590634,493.79224430680443
40,Jason Steele,1757.8927632983275,4245.001334906341,389.2518850277343
41,Mark Travers,-10125.615153855995,1502.0343277419697,-322.01705363086046
42,Carlos Vin?cius,-12180.025793243982,582.8846067539038,-466.76237856512086
43,Emiliano Mart?nez,19756.116343169153,6540.442951339055,827.5782183595524
44,Enso Gonzalez,-12756.35310611112,763.0894836846488,-585.1348246418103
45,Jordan Ayew,-1805.1522340467063,-2807.8600668460526,1699.2350468959617
46,Michail Antonio,-9588.06238769461,-595.855370580488,914.983019643767
47,Tim Iroegbunam,-12054.84475843275,708.0261912381217,-527.500561610618
48,Danny Welbeck,-7548.919802381914,-851.2921462608899,-131.8640461206746
49,Donny van de Beek,-12837.925121519678,792.5925318586883,-584.4153739543082
50,Harry Toffolo,-5095.393782306657,1227.0034705259727,-897.9621986227118
51,Ra?l Jim?nez,-9062.996205387179,-169.45945816045926,-256.75113665089566
52,Sasa Kalajdzic,-12287.215788090256,704.310418288585,-582.4314388976275
53,Willy Kambwala,-9776.74095050079,632.7459107621929,-498.46400790095583
54,Boubacar Traor?,-6599.897774165682,-100.88184729787535,-808.157135444714
55,Hugo Bueno,-8022.485808640982,-204.6553771334119,-221.56198385056234
56,Luke Thomas,-8559.65816359998,680.4107826938977,-610.1417590378729
57,Mahmoud Dahoud,-8573.406939488972,136.2809571110081,-762.9518483728353
58,Michael Keane,-9007.187983036674,788.3942739960968,-736.5976972682183
59,Arijanet Muric,1013.7856361863612,4253.601330126778,1257.1299986892222
60,Auston Trusty,701.2663482047232,980.9436990865429,-1221.541493602851
61,Chris Wood,-9098.09874662817,56.14893373106223,-557.9868837176357
62,Dara O'Shea,17675.610544307227,335.5091031608325,-378.9439911554922
63,Jamaal Lascelles,-171.9951710904475,30.28393488294545,-706.3531514179249
64,Jeffrey Schlupp,-8919.397318980262,-16.777769050398103,-167.5826508371854
65,Leander Dendoncker,-12077.125898926099,689.1761794750724,-683.9186093513085
66,Matt Turner,2424.926261915554,5500.478229526676,1205.6336321181557
67,Matz Sels,-3508.1096001183755,3508.2737903595444,249.02945004934406
68,Ben Johnson,-8435.636246927446,382.68846599818147,21.848634241060182
69,Chiedozie Ogbene,-2888.9387542771456,-2568.612540741416,3522.433848087427
70,Christian Eriksen,-1583.5397117364405,-511.08533783732486,-948.2282996096556
71,Dan Burn,11748.493057806318,774.9076973447608,-1515.103977342257
72,Danny Ings,-11889.653274323577,523.825874628992,-476.0902376472132
73,David Brooks,-11017.629482845517,640.3870915954271,-237.129034954263
74,Facundo Pellistri,-12046.34117082834,498.13387238974053,-327.9370415541539
75,Jacob Bruun Larsen,-5957.13272328888,-819.4978741598602,281.3693675955839
76,Naouirou Ahamada,-10102.673149133761,230.4442230905199,-235.59301715270274
77,Pascal Gro?,34099.83661722695,-2960.5859507750342,-587.3788169319906
78,Ross Barkley,10936.716582212423,-1776.9931609842106,400.22138025320373
79,Santiago Bueno,-5028.528910380793,128.22133029728766,-529.1425952387871
80,Vladim?r Coufal,9034.685193544778,1634.0385061730603,1218.1953993543864
81,Adama Traor?,-10998.170823248276,154.75744490949515,271.680599381178
82,Alejo V?liz,-12752.960250142627,767.173157312819,-593.5415266039279
83,Anass Zaroury,-12058.110422345106,552.9896190325342,-479.43780186350153
84,Bertrand Traor?,-12820.251341942087,767.5411264751909,-549.2483758054583
85,Frank Onyeka,-7728.353894785111,-162.42291385977956,-314.8356358133305
86,Maxwel Cornet,-12375.260025294647,612.7833031456935,-456.8515149019647
87,Scott McKenna,-9747.062631349632,1085.0863364180393,-690.0224294060533
88,Stefan Ortega,-6858.5249731346075,2291.637276281668,-29.335096673436126
89,Will Hughes,-1291.9965211765957,-44.80344852110278,-1302.994133368957
90,Abdoulaye Doucour?,-2065.1350875385315,-1318.7696375159242,75.19913803279694
91,Alphonse Areola,8758.629149989603,6403.374905558104,1710.7038246126629
92,Anthony Martial,-11457.79179454538,472.48785800872963,-521.473621421248
93,Antoine Semenyo,-4569.702656528375,-2271.4132565707164,2477.1803466963456
94,Ben Davies,2605.98329848817,422.6978084302625,-35.796995765464494
95,Ben Godfrey,-6412.487200230274,887.554457241382,-532.8549791619229
96,Cesare Casadei,-12002.19868620674,632.8027799391505,-602.3896493886551
97,Cl?ment Lenglet,4414.794171247876,-605.4567531265453,533.7362763743263
98,Danilo,-1368.474482322275,-137.6068238000711,-573.0404721782352
99,Fabian Sch?r,27793.47193983872,1186.3059018054041,759.3261471264029
100,Gonzalo Montiel,-7635.684165698272,906.9199934888984,-461.28501026218305
101,Issa Kabor?,-3121.437256237818,-27.393714415258106,760.2029910534815
102,Jakub Moder,-9243.31246853419,280.5011955781597,-458.7861697507772
103,Jo?l Veltman,335.76733066491863,-446.00730674993446,-1235.3821822287703
104,Josh Dasilva,-12645.052165757896,725.628231268991,-470.73359431941566
105,Kieran Trippier,19594.348095475638,1316.2062726128547,-2521.219530838428
106,Lorenz Assignon,-6647.351742989394,202.40536075018966,142.34023454026092
107,Mads Roerslev,-3466.036557199661,353.0099930927102,-498.57975137784615
108,Mario Lemina,9095.547040190231,-1787.2280165338047,-987.2141392408306
109,Matt Targett,-12133.250267277186,728.9644341208178,-584.7373086220038
110,Mikkel Damsgaard,-7193.156660931432,386.4894048094924,-28.58626114872585
111,Pablo Sarabia,-485.17536053957116,-364.86987044672725,141.26696218193499
112,Sa?a Luki?,-5552.838451367822,-57.60510204385945,-696.0005655222631
113,Sam Johnstone,1337.832474107613,4766.390006514348,1065.34147248613
114,Sergio G?mez,-12163.571701051073,610.1646039595477,-547.8857340241165
115,Thilo Kehrer,-12748.179827276406,797.0651128560105,-585.9325322379304
116,Tommy Doyle,3369.800915527297,-531.5444247141374,-1304.9253166059932
117,Wilson Odobert,-5313.722230929428,-1950.6006486424876,2461.4297893903904
118,Andrew Omobamidele,-7283.441843652159,369.28830507268714,-832.9357554363822
119,F?bio Silva,-11951.549387823927,525.4550848649341,-386.4152149553021
120,Ameen Al-Dakhil,-2286.3315871308387,-137.12034374798148,-375.5313465719368
121,Chris Richards,1581.566843446717,363.0365407185139,-1421.5923533125558
122,David Datro Fofana,-10953.086486028778,36.9414176887007,130.0182739452196
123,Dean Henderson,-3549.662968063528,3028.731546167435,582.4603397849254
124,Emerson,1805.6006989782295,-561.5333438091933,-1278.6316168788237
125,Eric Dier,-10495.473838734873,1064.7389215659618,-625.6265576304606
126,Ethan Pinnock,11920.221291496118,-485.5002736031266,-322.87416611490124
127,James Mcatee,-6597.76647372245,-960.9329101600227,1128.622452046927
128,Jorginho,-619.1250820257574,138.06420815201145,-1346.6924758784926
129,Lewis Cook,9313.225953636966,5.0690383166502455,-1160.7511853539338
130,Lewis Dunk,43558.7879970508,463.05409708738375,-214.28404258356602
131,Lucas Digne,5084.785202509345,-85.59529939286662,-550.5795279119651
132,Mark Flekken,26235.352563373348,10317.079620838584,2280.5189501499617
133,N?lson Semedo,11851.714247671263,-2181.859381915901,2182.0007601982256
134,Neal Maupay,-8094.084305987299,-246.86245275156512,-353.15841468224886
135,Ola Aina,-1728.1221464231178,263.42190444290515,742.815849975599
136,Ryan Christie,7724.815522139207,-2063.447192307342,310.91850153770775
137,Ryan Yates,-1558.9181425557667,-342.4290117913067,-1297.5265540313183
138,Sergio Reguil?n,-1705.0428840684976,375.5773123853187,390.7909316625128
139,Tariq Lamptey,-6897.586453801821,-817.2869413191422,-69.10494723279383
140,Zeki Amdouni,-5857.012452622113,-1413.7092109512887,787.9116403495841
141,?lex Moreno,-5713.692956264672,-536.1691830615463,-9.713256665910574
142,Arnaut Danjuma,-11104.494346277743,109.87666239691104,187.4453291545977
143,Bernd Leno,22070.36566044402,7692.437288456639,853.5543941341882
144,Callum Wilson,-11345.757305974943,84.27480636650081,-59.51464326326158
145,Cameron Archer,-9059.867072799825,-807.7197159754542,530.7593892441087
146,Cameron Archer1,-12794.84011289276,761.8737486655549,-557.3294973520013
147,James Tarkowski,15388.716349109161,1499.9009627574035,-137.7246316901598
148,Kyle Walker,25301.371769205565,-4071.2177697057696,-2573.870430591332
149,Trevoh Chalobah,-49.519032357506596,364.0540888713417,-1933.264321628575
150,Tyrone Mings,-12703.859719545331,838.5611085662658,-582.2053512295681
151,Valent?n Barco,-10029.632539892638,558.7749982579778,-442.1936591189326
152,Wataru Endo,6300.019666771829,-761.8460196146527,-1618.4312636561378
153,Bryan Gil,-10860.695581037353,271.8087734968913,-380.20485985892327
154,Jos? S?,8148.930560334729,4162.685037483322,2814.0984698958996
155,Justin Kluivert,-7593.634794379856,-877.4031580728101,1228.7566917945285
156,Pablo Fornals,-10023.401300636191,468.8194250479383,-619.2004379252677
157,Albert Sambi Lokonga,-656.0557762081628,-498.52366969447263,-182.04726687461127
158,Andrey Santos,-12746.46622244741,792.396019109615,-585.0223871855441
159,Carney Chukwuemeka,-11225.799762880182,342.4190953112018,-420.9891392947712
160,Conor Bradley,-5887.052012586726,-222.17136821487665,21.556966749025563
161,Elliot Anderson,-7115.4050031715005,-519.363857268167,370.54570123031965
162,Harrison Reed,-2667.863597765129,-304.27090056493506,-1535.3585965781422
163,Jacob Murphy,-6741.099879471731,86.67890322207735,422.7599646293446
164,Jean-Ricner Bellegarde,-8901.81536404543,-342.5671145762767,260.4174074406512
165,Keane Lewis-Potter,-7859.649723318186,-953.5239946742008,1113.851175272701
166,Kenny Tete,-5633.66344974343,800.2092218283614,-472.0564101818589
167,Kristoffer Ajer,-1434.3889262053742,397.77627474393057,-280.0463574386286
168,Matheus Fran?a,-11735.034687020507,412.65054873507574,-109.52054555672476
169,Morgan Rogers,-10184.902719026564,391.9812932485455,3.5607363352558927
170,Nathan Patterson,-5815.616478617321,1022.351102209602,-432.07781968956516
171,Nuno Tavares,-9458.435108018572,546.2728896685695,-230.35511206043813
172,Oliver Skipp,-7251.1572620806555,402.82826171315173,-1056.3040086031478
173,Reiss Nelson,-11011.696075725255,284.01538215466576,-390.4847125191759
174,Romain Faivre,-12517.265913346699,710.5051036612443,-416.215305840312
175,Tyler Adams,-11801.161180930963,693.3382844497547,-626.4596252286098
176,Victor Lindel?f,1431.0241390668252,-609.6990535054554,-757.1359892885977
177,Calvin Bassey,17102.388774701893,-265.5464819823324,-582.1576855270666
178,Diego Carlos,13098.008601533456,1111.1256362542345,-337.48118974094217
179,Giovani Lo Celso,-5352.973489817492,-2.818687664555428,-334.34609505284004
180,Jack Hinshelwood,-6469.308744887289,-397.242955640281,-723.6358735798007
181,Max Aarons,-4475.457502841995,329.4959747591215,22.111548739192813
182,Moussa Niakhate,-204.6574615714191,570.6386722520122,-520.0408594254229
183,Nick Pope,-3616.2136131798434,2685.465404087924,-221.63829958584816
184,Davinson S?nchez,-11689.278424607228,758.7558068113125,-588.9154495625685
185,Hamed Junior Traor?,-12557.65885675974,702.8642026960674,-497.8677918508587
186,Harry Wilson,-4479.438872525842,-1271.6673057140606,492.51997129848735
187,Igor,11213.611930063174,-870.2635800338091,-243.77161244119497
188,Luis Sinisterra,-9055.027848531574,-497.76121238919075,649.2633785596536
189,Neco Williams,-3382.7569506983737,78.69503280727619,919.8025043805195
190,Nicol?s Dom?nguez,-1084.3021546661093,-44.61881243885454,-1133.7474897467482
191,Timo Werner,-8116.602648354666,-880.5362897581404,950.2231876826758
192,Timothy Castagne,10363.163224028867,265.84243153318863,-1470.845657744367
193,Amad Diallo,-10711.267080362168,53.45474540120888,-235.56135452313484
194,Bart Verbruggen,5200.353053276414,5100.547650068194,859.8435856285566
195,Billy Gilmour,18640.58332266349,-2621.8032119103596,-1850.9669730603289
196,Callum Hudson-Odoi,-2544.714240181358,-2524.880571199056,2023.3852864366347
197,Christian N?rgaard,7890.6846894646515,-116.43228838306396,-1628.5150408268628
198,Daniel Mu?oz,-4340.235020358707,454.74603810689166,-357.63458468135957
199,Enes ?nal,-12034.039847307662,621.0511519284943,-446.1501708823956
200,Facundo Buonanotte,-7224.771558597237,-759.6441718546789,165.36804331155227
201,Harry Maguire,6270.96330867335,-6.863365213733431,641.5402203886958
202,Jack Harrison,-5768.9249158663715,-386.64364652564876,1382.8263129759832
203,Jan Paul van Hecke,30292.354763760653,-776.2315817885753,2086.0587256605154
